Project_Name,Primary_Environmental_Mechanism,Procedure,Environmental_Aspect,Obligation_Number,Obligation,Accountability,Responsibility,ProjectPhase,Action_DueDate,Close_Out_Date,Status,Supporting_Information,General_Comments,Compliance_Comments,NonConformance_Comments,Evidence,PersonEmail,Recurring_Obligation,Recurring_Frequency,Recurring_Status,Recurring_Forcasted_Date,Inspection,Inspection_Frequency,Site_or_Desktop,"New_Control_action_required ",Obligation_type
SCJV - Pilbara Ports,Portside CEMP,W6946 (Cat 70),Dust Management,PCEMP-68,A dust monitor will be installed at the Port and will be monitored to ensure it complies with the conditions of Part V Works Approval.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,"Conditions from Part V Works Approval (Table 6): is calibrated, operated and maintained in accordance with manufacturers specifications.",,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,Y,Site based
SCJV - Pilbara Ports,Portside CEMP,W6875/2023/1,Reporting,PCEMP-69,"As per condition 23 of Works Approval W6875/2023/1, the OWNER shall, provide to the CEO a report summarizing any trigger exceedance events recorded in accordance with condition 21 including management action(s) taken.",SCJV,SCJV - Project Environmental Representative,Throughout the project,10/1/2027,,Not Started,,,Verify compliance through inspections and reporting.,,,,No,,,,,,Desktop,Y,Incident response
SCJV - Pilbara Ports,Portside CEMP,,Reporting,PCEMP-70,"Where dust monitor calibration cannot be met or there are discrepancies, these issues will be brought to the attention of the CEO with a report comprising details or any modifications to the methods.",SCJV,SCJV - Project Environmental Representative,Throughout the project,10/1/2027,,Not Started,,,Verify compliance through inspections and reporting.,,,,No,,,,,,Desktop,Y,Incident response
SCJV - Pilbara Ports,Portside CEMP,W6875/2023/1,Dust Management,PCEMP-71,"Immediately upon being notified of dust monitor levels exceeding the trigger criteria specified in Works Approval W6875/2023/1 being exceeded, the OWNER must:
? Conduct a trigger investigation within 20 minutes of being alerted to the management trigger criteria exceedance to identify any potential cause of the management trigger criteria exceedance and
? Upon identification of a potential on-site source/s during the trigger investigation conducted in accordance with part (a) of this condition, immediately control visible dust emissions by:
? Applying additional dust suppression/water loading to any dust generating areas within the premises, and/or
? Increasing moisture conditioning of material being used for construction activities and/or
? Increasing watercart operations on roads and any dust generating areas within the premises and/or
? Limiting works on site to only essential activities to minimise dust generation and/or
? Decreasing the operating speed of plant and equipment on site and/or
? Ceasing works and/or
? Implementing other dust mitigation measures to reduce dust from premises activities","SCJV - during construction
Perdaman - during operations",SCJV - Lead Environmental Advisor,Throughout the project,10/1/2027,10/1/2027,Not Started,"?	Conduct a trigger investigation within 20 minutes of being alerted to the management trigger criteria exceedance to identify any potential cause of the management trigger criteria exceedance and
?	Upon identification of a potential on-site source/s during the trigger investigation conducted in accordance with part (a) of this condition, immediately control visible dust emissions by:
?	Applying additional dust suppression/water loading to any dust generating areas within the premises, and/or
?	Increasing moisture conditioning of material being used for construction activities and/or
?	Increasing watercart operations on roads and any dust generating areas within the premises and/or
?	Limiting works on site to only essential activities to minimise dust generation and/or
?	Decreasing the operating speed of plant and equipment on site and/or
?	Ceasing works and/or
?	Implementing other dust mitigation measures to reduce dust from premises activities",,Verify compliance through inspections and reporting.,,,,No,,,,,,Desktop,Y,Incident response
SCJV - Pilbara Ports,Portside CEMP,W6875/2023/1,Dust Management,PCEMP-72,"In the event that management trigger criteria as per W6875/2023/1 is exceeded, the OWNER shall:
- Continue to actively monitor dust levels for the duration of the event (until dust levels return below the criteria)
- Continue to apply additional dust mitigation measures for the duration of the event
- Maintain records (including photographic and video evidence) of the works areas at the time of exceedance.
- Maintain records of the management trigger, including the date, time and duration of the event; weather conditions and management actions that were implemented.","SCJV - during construction
Perdaman - during operations",SCJV - Lead Environmental Advisor,Throughout the project,10/1/2027,,Not Started,"?	Continue to actively monitor dust levels for the duration of the event (until dust levels return below the criteria)
?	Continue to apply additional dust mitigation measures for the duration of the event
?	Maintain records (including photographic and video evidence) of the works areas at the time of exceedance.
?	Maintain records of the management trigger, including the date, time and duration of the event; weather conditions and management actions that were implemented.",,,,,,No,,,,,,Desktop,Y,Incident response
SCJV - Pilbara Ports,Portside CEMP,,Noise Management,PCEMP-73,"Personnel shall be educated on their surrounding sensitive receptors and warned against the use of loud offensive language that may disrupt or offend PROJECT visitors, cultural visitors and personnel.",SCJV,SCJV - Construction Supervisor,Prior to Construction,8/1/2024,,Not Started,,,"Verify compliance through evidence of inductions, audits and reporting.",,,,No,,,,Yes,As required,Desktop,,Training
SCJV - Pilbara Ports,Portside CEMP,,Noise Management,PCEMP-74,"Operating noise, vibration and potential mitigation measures, such as sound absorption devices, shall be specified when selecting equipment for the PROJECT.",SCJV,SCJV - Commercial Manager,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Mobilisation,Desktop,,Procurement
SCJV - Pilbara Ports,Portside CEMP,,Noise Management,PCEMP-75,Equipment shall be fitted with appropriate noise reduction devices.,SCJV,SCJV - Construction Supervisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Mobilisation,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Noise Management,PCEMP-76,"Regularly inspect, maintain and replace mobile equipment.",SCJV,SCJV - Construction Supervisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Noise Management,PCEMP-77,"For machinery lacking silencing devices, ensure plant, machinery and equipment are operated as far as practicable from sensitive receptors.",SCJV,SCJV - Construction Supervisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Mobilisation,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Noise Management,PCEMP-78,Using non-vibrating or lower vibrating construction methodologies and/or operate plant as far as practicable from sensitive receptors.,SCJV,SCJV - Construction Supervisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,No,,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Noise Management,PCEMP-79,Broadband reversing alarms shall be installed on mobile plant.,SCJV,SCJV - Construction Supervisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Erosion and Sedimentation Management,PCEMP-80,A progressive erosion and sediment control plan (ESCP) will be developed for each project area and submitted for review and approval as part of the GDP process. The plan will consider the changes that will be required throughout the PROJECT construction phase to ensure adequate management of surface water flows.,SCJV,SCJV - Lead Environmental Advisor,Prior to Construction,8/1/2024,,Not Started,"As a minimum the ESCP shall include:
- Site battery limits
- Soil and general geotechnical description
- Existing and planned contours including location of cut and fill banks
- Existing and final overland flow drainage paths
- Limits of land disturbance allowed for the proposed scope of works and/or the broader PROJECT
- Location of vegetated buffer strips
- Stabilised entry/exit points
- Location of soil and sand stockpiles
- Location of all proposed temporary drainage control measures
- Location of all proposed erosion control measures including installation sequence and maintenance requirements",,"Verify compliance through inspections, audits and reporting.",,,,No,,,,,,Desktop,,Design
SCJV - Pilbara Ports,Portside CEMP,,Erosion and Sedimentation Management,PCEMP-81,"Temporary drainage structures will be designed to reduce run-off velocities by using wider inverts, and silt fencing.",SCJV,SCJV - Construction Manager,Prior to Construction,8/1/2024,,In Progress,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Mobilisation,Desktop,,Design
SCJV - Pilbara Ports,Portside CEMP,,Erosion and Sedimentation Management,PCEMP-82,Stockpiles including overburden and clean fill are to be established to minimise erosion and prevent movement of material outside the stockpile footprint.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Daily,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Erosion and Sedimentation Management,PCEMP-83,"Ensure that silt from batters, cut-off drains, table drains, and road works is retained on site and replaced as soon as practicable, sediment controls will be installed downstream of any disturbed land such as worksites, prior to that work being undertaken.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Daily,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Erosion and Sedimentation Management,PCEMP-84,Geotextile silt fences shall be installed in surface water flow areas to minimise the sediment discharge from the PDE. These will be constructed with a centre section lower than ground level to avoid outflanking during heavy rainfall events.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Daily,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Erosion and Sedimentation Management,PCEMP-85,Silt and sediment fences will be installed and maintained until the areas up-gradient have been adequately stabilised to minimise the erosion risk such that the controls can be removed.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Daily,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Erosion and Sedimentation Management,PCEMP-86,The design and construction of non-paved areas will consider the potential for erosion and ensure they do not erode beyond acceptable limits.,SCJV,SCJV - Engineering Manager,Design and Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Design
SCJV - Pilbara Ports,Portside CEMP,,Erosion and Sedimentation Management,PCEMP-87,"If any areas of localised erosion develop, they will be remediated as soon as practicable to prevent further erosion or sediment deposition in offsite areas.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Erosion and Sedimentation Management,PCEMP-88,"Repair or replace degraded erosion and sediment control structures and features as recommended in manufacturer�s specifications, engineer�s drawings.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,As required,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-89,"Spill response procedures will be developed, communicated to all PROJECT Personnel and implemented across the PDE.",SCJV,SCJV - HSSE Manager,Throughout the project,8/1/2024,,Completed,,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,As required,Desktop,,Training
SCJV - Pilbara Ports,Portside CEMP,PPA requirement,Hazardous Substances and Hydrocarbon Management,PCEMP-90,"Ensure personnel working within the PPA jurisdiction are competent in Oil Spill Incident Response Training (OSIRT). Where required, SCJV personnel working within the Port Area, could be required to undertake this training conducted through PPA.",SCJV,SCJV - HSSE Manager,During Construction,1/1/2027,,Not Started,,,"Verify compliance through training records, audits and reporting.",,,,No,,,,Yes,As required,Site,,Training
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-91,"When selecting materials for the PROJECT, the least hazardous substances will be selected in preference for the PROJECT, and risk assessments will be required for substances posing potential risk during use, as per the ChemAlert rating.",SCJV,SCJV - Commercial Manager,Design and Construction,1/1/2027,,Not Started,,,Verify compliance through audits and documented risk assessments.,,,,No,,,,Yes,As required,Desktop,,Procurement
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-92,A register of all hydrocarbon and hazardous substances stored on site will be prepared and will be readily accessible to all PROJECT Personnel and reviewed regularly.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,,,Verify compliance through audits and reporting.,,,,No,,,,Yes,Weekly,Desktop,,Reporting
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-93,The amount of fuels and chemicals that are stored on-site will be minimised as far as practicable. Chemicals that are no longer required will be removed from site by approved transport and disposal methods.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,SDS,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Daily,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-94,Up to date Safety Data Sheets (SDSs) for all chemicals used on site will be readily accessible to all PROJECT Personnel and emergency services authorities.,"SCJV - during construction
Perdaman - during operations",SCJV - HSSE Manager,Throughout the project,1/1/2107,,Not Started,SDS,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,As required,Site,,Site based
SCJV - Pilbara Ports,,,Hazardous Substances and Hydrocarbon Management,PCEMP-95,"Adhere to Safety Data Sheets for all handling, use and storage of chemicals and hazardous materials.","SCJV - during construction
Perdaman - during operations",SCJV - HSSE Manager,Throughout the project,1/1/2107,,Not Started,SDS,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,No,,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-96,"SDS must be issued with Australian emergency contact details and be less than 5 years old, in addition to being supplied to waste contractors as per Guidelines of Controlled Waste Generators.","SCJV - during construction
Perdaman - during operations",SCJV - Lead Environmental Advisor,Throughout the project,1/1/2107,,Not Started,SDS,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,As required,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-97,"A hard copy of SDS's will be kept in the immediate work area and the location for Hazardous Substances or Dangerous Goods storage, and electronic copies of SDS's will also be kept in the PROJECT HSE office.","SCJV - during construction
Perdaman - during operations",SCJV - Lead Environmental Advisor,Throughout the project,1/1/2107,,Not Started,SDS,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Daily,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-98,"Storage sites for oil and other contaminant materials and plant maintenance areas must be confined to specially designed areas, bunded away from drains, water courses, wetlands and floodplains in accordance with relevant legislation. These areas must be constructed to ensure that any spillage is confined in accordance with relevant legislation.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,Containment,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-99,"Chemicals are to be stored on or within a bunded structure � capacity 110% of largest container, impermeable walls and floor (soil floors not sufficient) and roofed in accordance with Australian Standard AS1940:2004.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,Containment,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-100,"Ensure all storage sites for oil and other contaminant materials and plant maintenance areas, are confined to specially designed areas, bunded and located 50m away from marine environment.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,Containment,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,As required,Site,Y,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-101,Volumes of hazardous substances and hydrocarbons will not exceed threshold limits specified in Dangerous Goods Safety Act 2004,SCJV,SCJV - HSSE Manager,During Construction,1/1/2027,,Not Started,Containment: Refer to threshold limits.,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-102,"Containment bunds around facilities such as vehicle servicing facilities, chemical / fuel storage areas and concrete batch plants will be designed to minimise flood water entry and be inspected on a regular basis.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,Containment,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Extreme Weather,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-103,"Stationary plant (e.g., generators) shall be self-bunded. Bunds are to be inspected weekly and after heavy rains and emptied as required.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,Containment,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-104,"Ensure bunds do not contain liquids. Following rain events bunds will be inspected and pumped dry, and if required into a controlled waste IBC for contaminated/ oily water for appropriate removal, treatment or disposal.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,Containment,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Extreme Weather,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-105,"These areas must be constructed to ensure that any spillage is confined. In addition, all fuels and lubricants must be stored in a bunded area under laid with plastic. Adequate quantities of suitable material to counteract spillage must be kept on relevant premises.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,Containment,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-106,"Hydrocarbon and chemical storage areas will include appropriate signage and labels, in accordance with relevant legislation and Australian Standards.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,Containment,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Quarterly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-107,All contaminated stormwater (levels exceeding nominated criteria) i.e. runoff containing hydrocarbons >5ppm Total Petroleum Hydrocarbons (TPH) shall not be discharged into the environment without treatment under any circumstance.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,Containment,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Extreme Weather,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-108,"Where substances are decanted at the construction site, the type of labelling shall depend on the period of time the product is consumed over.",SCJV,SCJV - HSSE Manager,During Construction,1/1/2027,,Not Started,"Containment: Where a product is not being spent immediately, the container the product must be decanted to must be labelled with:
- The name of the product.
- The risk of the product to the environment (toxicity).
- The risk phrases.
- The product HAZCHEM Code and Dangerous Good Code.",,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,As required,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-109,"If the contents of a container are unknown, it shall be tagged as out-of-service until it can be identified and labelled.",SCJV,SCJV - HSSE Manager,During Construction,1/1/2027,,Not Started,Containment,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,As required,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-110,"Spill kits will be located around the PDE, in particular at chemical storage locations and where fuels are transferred or decanted. The contents of the spill kit will be relevant to the area and the potential spill.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,Spill kits,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Quarterly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-111,"Spills kits, drip-trays and other preventative devices shall be always kept within fuel delivery vehicles.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,Spill kits,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Quarterly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-112,"Any spills or leaks into bunded areas will be decanted and cleaned from the bund immediately after they occur. No further fuelling, transfer or decanting is to occur until the spill is cleaned up and reported.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,Spill kits,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,As required,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-113,Ensure spills are controlled prior to entering the marine environment through spill clean-up and Erosion and Sediment Controls.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,Spill kits,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,As required,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,PPA requirement,Hazardous Substances and Hydrocarbon Management,PCEMP-114,No vehicle or mobile plant refueling shall occur within 50 m of the marine environment or a watercourse.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,Refueling,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Quarterly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-115,"Refueling mobile plant and equipment is to be undertaken within bunded refuelling areas suitably designed and operated to capture any spill or overflow associated with the refuelling process. The system must be installed to ensure surface water is excluded from the bund and any rain falling into the bund is safely held, without the risk of overflow, before being decanted and disposed of at a suitable waste management facility.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,Refueling,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Quarterly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-116,"Mobile refueling activities must only be from trailers fitted with twin skinned tanks and separately bunded. All refueling must be conducted using spill protection (i.e., drip trays).",SCJV,SCJV - Construction Supervisor,During Construction,1/1/2027,,Not Started,Refueling,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Quarterly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-117,"The refueling of plant, use of plant which leaks fuel or oil, mixing of cutting oil with bitumen, or any other action which may result in the spillage of any solvent must not be carried out on any bituminous surface (including asphalt), or on any other surface on which bitumen is to be placed, or near any wetland, drain or floodplain.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,Refueling,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Quarterly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-118,Only manual trigger fuel nozzles are to be used during refueling of plant and equipment. The operator is to manually hold the delivery trigger in the open position and must not lock the trigger to prevent it from automatically shutting off when the trigger is released.,SCJV,SCJV - HSSE Manager,During Construction,1/1/2027,,Not Started,Refueling,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Quarterly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-119,Fuel truck/trailer operators shall not leave area whilst refueling equipment or filling a tank in case there is a need for emergency shut-off.,SCJV,SCJV - HSSE Manager,During Construction,1/1/2027,,Not Started,Refueling,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Quarterly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-120,No ignition sources within at least a 10m radius of the fill point will be observed during refueling.,SCJV,SCJV - HSSE Manager,During Construction,1/1/2027,,Not Started,Refueling,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Quarterly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-121,Hazardous waste materials and dangerous goods will be disposed of in accordance with the relevant legislation and PROJECT requirements at approved and certified facilities.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,waste records,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Monthly,Desktop,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-122,"All removals shall be recorded, and receipts will be kept as per methods in non-hazardous waste controls. Controlled Waste Tracking Forms/Controlled Waste Tracking numbers shall be kept and recorded for the removal of each load of controlled waste.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,Disposal,,Verify compliance through audits and receipts.,,,,No,,,,Yes,Monthly,Desktop,,Reporting
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-123,"Oily or contaminated products such as rags, filters, grease cartridges etc. are to be disposed into hydrocarbon bins or relevant containment and removed off-site by licenced contractor.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,Disposal,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Monthly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-124,"Wastes that are not suitable to be disposed into provided waste receptacles i.e., product liquids, incompatible materials, impacted soils etc. will be containerised separately.",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,Disposal,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-125,Waste oil and engine coolant to be stored on-site in a secure bunded area and periodically removed by a licenced waste contractor to a licenced waste facility.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,Disposal,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-126,"Ensure hydrocarbon and hazardous waste skips are appropriate to the waste type (i.e., fitted with lid and sealed).",SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,Disposal,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-127,Petroleum products and used filters shall be drained into an appropriate container to remove any leftover product prior to disposal as solid hydrocarbon waste.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,Disposal,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-128,Septic waste is to be pumped into a licenced liquid waste transport vehicle and taken to a licenced facility.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,Disposal,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Desktop,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-129,Batteries will be stored on-site in bunding prior to being removed and recycled.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,Disposal,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-130,Empty printer and toner cartridges will be segregated and removed to a recycling service provider.,SCJV,SCJV - Lead Environmental Advisor,During Construction,1/1/2027,,Not Started,Disposal,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Site based
SCJV - Pilbara Ports,Portside CEMP,,Hazardous Substances and Hydrocarbon Management,PCEMP-131,No planned major vehicle or plant servicing shall be undertaken on-site.,SCJV,SCJV - Construction Supervisor,During Construction,1/1/2027,,Not Started,Servicing,,"Verify compliance through inspections, audits and reporting.",,,,No,,,,Yes,Weekly,Site,,Site based
